name,mean,min,median,max,count,70%,80%,90%
SL.lm_range01_1,-0.462,-0.462,-0.462,-0.462,1,-0.462,-0.462,-0.462
SL.speedglm_range01_1,-0.462,-0.462,-0.462,-0.462,1,-0.462,-0.462,-0.462
SL.speedlm_range01_1,-0.462,-0.462,-0.462,-0.462,1,-0.462,-0.462,-0.462
SL.gbm_range01_1,-0.453,-0.453,-0.453,-0.453,1,-0.453,-0.453,-0.453
ppr_range01_1,-0.43,-1.493,-0.449,0.267,19,-0.092,0.014,0.135
xgbDART_all_2,-0.444,-0.444,-0.444,-0.444,1,-0.444,-0.444,-0.444
gcvEarth_quantile_1,-0.328,-0.825,-0.443,0.277,13,-0.263,0.06,0.199
rlm_quantile_2,-0.598,-1.678,-0.435,0.392,19,-0.377,-0.263,-0.082
rlm_quantile_1,-0.549,-2.512,-0.414,0.266,12,-0.369,-0.152,0.141
ppr_YeoJohnson_2,-0.46,-1.516,-0.414,0.425,19,-0.113,0.005,0.311
SL.bartMachine_range01_1,-0.402,-0.402,-0.402,-0.402,1,-0.402,-0.402,-0.402
glm.nb_range01_2,-0.652,-1.64,-0.388,-0.193,4,-0.361,-0.305,-0.249
widekernelpls_asis_2,-1.151,-3,-0.372,0.135,20,-0.221,-0.141,0.045
ppr_quantile_2,-0.536,-1.891,-0.363,0.283,19,-0.252,-0.125,0.059
SL.caret.rpart_range01_1,-0.35,-0.35,-0.35,-0.35,1,-0.35,-0.35,-0.35
glmStepAIC_asis_2,-0.827,-3,-0.35,0.4,20,-0.11,0.01,0.079
lmStepAIC_asis_2,-0.859,-3,-0.35,0.4,20,-0.11,0.01,0.079
WM_all_2,-0.346,-0.346,-0.346,-0.346,1,-0.346,-0.346,-0.346
ppr_quantile_1,-0.365,-1.352,-0.342,0.252,12,-0.106,0.068,0.236
M5_range01_2,-0.272,-0.512,-0.328,0.082,4,-0.21,-0.112,-0.015
SL.earth_range01_1,-0.327,-0.327,-0.327,-0.327,1,-0.327,-0.327,-0.327
gcvEarth_YeoJohnson_2,-0.328,-0.807,-0.325,0.156,19,-0.225,-0.183,0.033
WM_range01_2,-0.208,-0.45,-0.325,0.152,3,-0.134,-0.039,0.057
glm_range01_2,-0.598,-1.676,-0.324,-0.07,4,-0.174,-0.14,-0.105
lm_range01_2,-0.598,-1.676,-0.324,-0.07,4,-0.174,-0.14,-0.105
gcvEarth_quantile_2,-0.308,-1.299,-0.323,0.317,19,-0.046,-0.005,0.017
msaenet_all_2,-0.322,-0.322,-0.322,-0.322,1,-0.322,-0.322,-0.322
elm_asis_2,-0.377,-0.889,-0.316,-0.017,20,-0.248,-0.202,-0.154
bartMachine_all_2,-0.314,-0.715,-0.314,0.086,2,-0.154,-0.074,0.006
msaenet_asis_2,-0.418,-1.217,-0.308,0.148,16,-0.186,-0.097,0.057
SL.nnet_range01_1,-0.306,-0.306,-0.306,-0.306,1,-0.306,-0.306,-0.306
ppr_asis_2,-0.542,-2.003,-0.302,0.579,20,0.136,0.163,0.328
rpart1SE_asis_2,-0.389,-1.324,-0.3,0.329,20,-0.077,0.014,0.088
bayesglm_range01_1,-0.586,-2.516,-0.3,0.31,18,-0.002,0.096,0.169
leapForward_quantile_1,-0.247,-0.693,-0.294,0.276,12,-0.078,0.048,0.117
gcvEarth_range01_1,-0.32,-0.808,-0.293,0.114,19,-0.226,-0.185,-0.161
rvmRadial_all_2,-0.292,-0.292,-0.292,-0.292,1,-0.292,-0.292,-0.292
gcvEarth_asis_2,-0.454,-1.454,-0.288,0.182,20,-0.145,-0.05,0.064
kernelpls_YeoJohnson_2,-0.601,-3,-0.287,0.189,19,-0.054,0.004,0.117
elm_YeoJohnson_2,-0.231,-0.762,-0.285,0.336,19,-0.09,0.06,0.253
M5Rules_quantile_2,-0.352,-1.288,-0.27,0.152,19,-0.143,-0.101,0.016
xgbDART_range01_2,-0.193,-0.292,-0.267,-0.02,3,-0.168,-0.119,-0.069
