spearman,pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,fold,maxfold,seed,seedit,foldseed,RMSEmean,RMSEmeantrain,hpGen,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTuneparams,btp1,btp2,btp3,btp4,btp5,btp6,btp7,btp8,btp9,btp10,btp11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.023,-0.005,0.026,1.06,1.41,1.24,Wed Mar 27 00:19:23 2019,knn,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,2,cv,10,10,NA,5,,,,,,,,,,0,5,3.17,18,3.5,21,3.54,29,3.25,31,3.17,54,3.54,69,3.42,90,3.67,94,3.29,111,3.58,115,3.67,117,3.17,128,3.54
-0.014,-0.035,-0.004,1.08,1.45,1.27,Wed Mar 27 00:19:28 2019,krlsPoly,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,5,cv,10,10,NA,5,,,,,,,,,,0,5,3.47,18,3.47,21,3.48,29,3.48,31,3.49,54,3.5,69,3.49,90,3.5,94,3.5,111,3.5,115,3.5,117,3.5,128,3.51
0.216,0.05,0.036,0.99,1.39,1.17,Wed Mar 27 00:20:17 2019,krlsRadial,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,48,cv,10,10,NA,5,,,,,,,,,,0,5,3.47,18,3.47,21,3.47,29,3.47,31,3.47,54,3.47,69,3.47,90,3.67,94,2.28,111,3.46,115,3.87,117,2.69,128,4.72
0.006,0.088,-0.001,1.76,1.44,1.12,Wed Mar 27 00:20:30 2019,lars,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,3,cv,10,10,NA,5,,,,,,,,,,0,5,2.46,18,3.52,21,3.78,29,4.04,31,2.19,54,3.78,69,3.9,90,3.53,94,2.5,111,3.73,115,3.88,117,2.95,128,3.92
0.182,0.111,0.128,1.05,1.26,1.09,Wed Mar 27 00:20:34 2019,lars2,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,3,cv,10,10,NA,5,,,,,,,,,,0,5,2.45,18,4.26,21,3.53,29,3.77,31,2.9,54,3.4,69,3.2,90,3.52,94,3.11,111,3.28,115,3.66,117,3.23,128,3.59
0.006,0.088,-0.001,1.76,1.44,1.12,Wed Mar 27 00:20:39 2019,lasso,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,4,cv,10,10,NA,5,,,,,,,,,,0,5,2.46,18,3.52,21,3.78,29,4.04,31,2.19,54,3.78,69,3.9,90,3.53,94,2.5,111,3.73,115,3.88,117,2.95,128,3.92
0.212,0.096,0.137,1.11,1.24,1.11,Wed Mar 27 00:20:43 2019,leapBackward,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,2,cv,10,10,NA,5,,,,,,,,,,0,5,2.3,18,4.21,21,3.22,29,4.36,31,3.04,54,3.28,69,3.34,90,3.55,94,3.46,111,3.15,115,3.52,117,3.39,128,3.42
0.222,0.093,0.139,1.13,1.24,1.12,Wed Mar 27 00:20:45 2019,leapForward,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,2,cv,10,10,NA,5,,,,,,,,,,0,5,2.37,18,4.54,21,3.45,29,3.13,31,2.92,54,3.34,69,3.18,90,3.69,94,3.31,111,3.05,115,3.58,117,3.42,128,3.51
0.222,0.093,0.139,1.14,1.24,1.12,Wed Mar 27 00:21:46 2019,leapSeq,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,59,cv,10,10,NA,5,,,,,,,,,,0,5,2.37,18,4.54,21,3.45,29,3.13,31,2.92,54,3.34,69,3.18,90,3.69,94,3.31,111,3.05,115,3.58,117,3.42,128,3.51
-0.225,-4.511,-5.816,-1,9.83,6.78,Wed Mar 27 00:21:49 2019,lm,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,1,cv,10,10,NA,5,,,,,,,,,,0,5,4.65,18,-18,21,11.7,29,-17.5,31,-3.16,54,10.2,69,-1.32,90,3.58,94,1.57,111,5.71,115,5.68,117,1.77,128,5.2
